name,sake,address,lat,lng
高橋酒造店,堀の井,岩手県紫波郡紫波町片寄堀米３６,39.524385,141.125159
亀の井酒造,くどき上手,山形県鶴岡市羽黒町戸野字福ノ内1,38.721305,139.926164
高木酒造,十四代,山形県村山市大字富並1826,38.546616,140.343319
樋木酒造,鶴の友,新潟県新潟市西区内野町５７７,37.857551,138.938401
廣木酒造本店,飛露喜,福島県河沼郡会津坂下町市中二番甲３５７４,37.560676,139.825709
本田商店,龍力米のささやき,兵庫県姫路市網干区高田361-1,34.814094,134.582046
澄川酒造場,東洋美人,山口県萩市大字中小川611番地,34.591544,131.678339
相原酒造,雨後の月,広島県呉市仁方本町１丁目２５−１５,34.226809,132.651423
亀泉酒造,亀泉,高知県土佐市出間2123-1,33.477616,133.387491
井上合名会社,三井の寿,福岡県三井郡大刀洗町栄田１０６７−２,33.374356,130.632107
